call;record;name;freq;vsslM;vssl;atm;rcnty;valid_from;valid_to;uid;thmH1;platH;brmH1;anmH;anHL1;wwH;sstD1;th1;hy1;st1;bm1;an1
****001;1;BOUNTY;MSNG;10;MSNG;MSNG;NZ;1980-01-01;1986-01-01;NZ-****001-B53000;;13.0;;;;;;TH1;HY1;ST1;BM1;
****002;1;NEGBA;MSNG;10;MSNG;MSNG;IL;1980-01-01;1986-01-01;IL-****002-N21000;;15.0;;;;;;TH1;HY1;ST1;BM1;
****003;1;SE WON;MSNG;40;MSNG;MSNG;KR;1980-01-01;1986-01-01;KR-****003-S50000;;13.0;;;;;;TH1;HY1;ST1;BM1;
****004;1;STEELCLIFFE HALL;MSNG;70;MSNG;MSNG;CA;1980-01-01;1986-01-01;CA-****004-S34241;;;;;;;;TH1;;ST1;;
****005;1;MONTCLIFFE HALL;MSNG;70;MSNG;MSNG;CA;1980-01-01;1986-01-01;CA-****005-M53241;;;;;;;;TH1;;ST1;;
****006;1;CANADIAN TRANSPORT;MSNG;70;MSNG;MSNG;CA;1980-01-01;1986-01-01;CA-****006-C53536;;;;;;;;TH1;;ST1;;
****007;1;ALGOPORT;MSNG;70;MSNG;MSNG;CA;1980-01-01;1986-01-01;CA-****007-A42163;;22.0;;33.0;;;;TH1;;ST1;;AN1
****008;1;CANADIAN ENTERPRISE;MSNG;70;MSNG;MSNG;CA;1980-01-01;1986-01-01;CA-****008-C53553;;;;;;;;TH1;;ST1;;
****009;1;ROSA MARIA;MSNG;10;MSNG;MSNG;BR;1982-01-01;1988-01-01;BR-****009-R25600;;12.0;;;;;;TH1;HY1;ST1;BM1;
****010;1;IRU 1008;MSNG;70;MSNG;MSNG;CA;1982-01-01;1988-01-01;CA-****010-I60000;;2.0;;;;;;TH1;;ST1;;
****011;1;IRU 1005;MSNG;70;MSNG;MSNG;CA;1982-01-01;1988-01-01;CA-****011-I60000;;2.0;;;;;;TH1;;ST1;;
****012;1;SPARKY;MSNG;70;MSNG;MSNG;CA;1982-01-01;1988-01-01;CA-****012-S16200;;;;;;;;;;;;
****013;1;LORD SELKIRK II;MSNG;10;MSNG;MSNG;CA;1982-01-01;1988-01-01;CA-****013-L63242;;9.0;;15.0;;;;TH1;HY1;ST1;BM1;AN1
2DLB;1;MAIRI EVERARD;MSNG;10;MSNG;MSNG;GB;1985-01-01;1992-01-01;GB-2DLB-M61663;;10.0;;;;;;TH1;HY1;ST1;BM1;
2DLC;1;ST OLA;MSNG;10;MSNG;MSNG;GB;1980-01-01;1986-01-01;GB-2DLC-S34000;;10.0;;;;;;TH1;HY1;ST1;BM1;
3DRG;1;ADI VITI;MSNG;10;MSNG;MSNG;NZ;1982-01-01;1989-01-01;NZ-3DRG-A31300;;10.0;;;;;;TH1;HY1;ST1;BM1;
3DRV;1;TUI CAKAU III (FIJI);MSNG;10;MSNG;MSNG;NZ;1984-01-01;1987-01-01;NZ-3DRV-T22120;;13.0;;;;;;TH1;HY1;ST1;BM1;
3EAC2;1;MENINA CHRISTINA (PANAMA);MSNG;70;MSNG;MSNG;US;1985-01-01;1992-01-01;US-3EAC2-M55262;;;;;;;;;;;;
3EAO;2;LORD NIAGARA (PANAMA);MSNG;70;MSNG;MSNG;US;1981-01-01;1988-01-01;US-3EAO-L63526;;14.0;;;;;;TH1;HY1;ST1;BM1;
3EAQ3;1;SANKO CYCLAMAN (PANAMA);MSNG;70;MSNG;MSNG;US;1985-01-01;1992-01-01;US-3EAQ3-S52224;;;;;;;;;;;;
3EAR3;1;HELLESPONT VANGUARD;MSNG;70;MSNG;MSNG;CA;1985-01-01;1992-01-01;CA-3EAR3-H42153;;21.0;;31.0;;;;TH1;;;BM1;AN1
3EBA2;1;BAHAMA STARS (PANAMA);MSNG;70;MSNG;MSNG;CA;1984-01-01;1986-01-01;CA-3EBA2-B52362;;19.0;;;;;;TH1;;;BM1;
3EBB;1;NEGEV-ZIN;MSNG;10;MSNG;MSNG;IL;1982-01-01;1988-01-01;IL-3EBB-N21250;;15.0;;;;;;TH1;HY1;ST1;BM1;
3EBD;1;DAE YANG AMITY;MSNG;40;MSNG;MSNG;KR;1980-01-01;1987-01-01;KR-3EBD-D52530;;26.0;;36.0;;;;TH1;HY1;ST1;BM1;AN1
3EBH;1;ORIENT CARRIER (PANAMA);MSNG;70;MSNG;MSNG;US;1980-01-01;1987-01-01;US-3EBH-O65326;;;;;;;;;;;;
3EBU;1;EASTERN ORION;MSNG;10;MSNG;MSNG;PH;1980-01-01;1995-01-01;PH-3EBU-E23656;;15.0;;25.0;;;;TH1;;ST1;BM1;AN1
3EBV3;1;WORLD PRESIDENT;MSNG;70;MSNG;MSNG;JP;1985-01-01;1991-01-01;JP-3EBV3-W64316;;20.0;;30.0;;;;TH1;HY1;ST1;BM1;AN1
3EBZ2;1;LAPPLAND (PANAMA);MSNG;70;MSNG;MSNG;CA;1984-01-01;1991-01-01;CA-3EBZ2-L14531;;20.0;;30.0;;;;TH1;;;BM1;AN1
3ECF2;1;WORLD ASPERATION;MSNG;70;MSNG;MSNG;CA;1984-01-01;1991-01-01;CA-3ECF2-W64321;;21.0;;31.0;;;;TH1;;;BM1;AN1
3ECJ;1;SILVER JOY;MSNG;10;MSNG;MSNG;PH;1978-01-01;1995-01-01;PH-3ECJ-S41620;;18.0;;24.0;;;;TH1;HY1;ST1;BM1;AN1
3ECS2;1;MONTE RUBY (PANAMA);MSNG;70;MSNG;MSNG;MY;1985-01-01;1986-01-01;MY-3ECS2-M53611;;18.0;;30.0;;;;;;ST1;BM1;AN1
3ECY3;1;SOUTHERN BRAVE (PANAMA);MSNG;70;MSNG;MSNG;CA;1985-01-01;1992-01-01;CA-3ECY3-S36516;;19.0;;29.0;;;;TH1;;;BM1;AN1
3EDG2;1;FICUS (PANAMA);MSNG;70;MSNG;MSNG;CA;1984-01-01;1990-01-01;CA-3EDG2-F22155;;24.0;;34.0;;;;TH1;;;BM1;AN1
3EDH2;1;EUTERPE (PANAMA);MSNG;10;MSNG;MSNG;GF;1984-01-01;1991-01-01;GF-3EDH2-E36115;;16.0;;;;;;TH1;HY1;ST1;BM1;
3EDL;1;EASTERN LAUREL;MSNG;10;MSNG;MSNG;JP;1981-01-01;1986-01-01;JP-3EDL-E23654;;25.0;;39.0;;;;TH1;HY1;ST1;BM1;AN1
3EDQ2;1;EMMA OLDENDORF (PANAMA);MSNG;10;MSNG;MSNG;GF;1984-01-01;1990-01-01;GF-3EDQ2-E54353;;21.0;;;;;;TH1;HY1;ST1;BM1;
3EDR3;1;SANKO CHRYSANTHEMUM;MSNG;70;MSNG;MSNG;CA;1985-01-01;1992-01-01;CA-3EDR3-S52262;;21.0;;31.0;;;;TH1;;;BM1;AN1
3EDV2;1;OTTO LEONHARDT (PANAMA);MSNG;40;MSNG;MSNG;GF;1984-01-01;1991-01-01;GF-3EDV2-O34563;;16.0;;;;;;TH1;HY1;ST1;BM1;
3EED;1;MAIN EXPRESS (PANAMA);MSNG;70;MSNG;MSNG;US;1982-01-01;1989-01-01;US-3EED-M52162;;;;;;;;;;;;
3EEJ;1;CHERRY (PANAMA);MSNG;10;MSNG;MSNG;GF;1980-01-01;1987-01-01;GF-3EEJ-C61550;;18.0;;;;;;TH1;HY1;ST1;BM1;
3EEK2;1;UNITED FAITH;MSNG;10;MSNG;MSNG;JP;1984-01-01;1990-01-01;JP-3EEK2-U53313;;20.0;;35.0;;;;TH1;HY1;ST1;BM1;AN1
3EES2;1;STEPHANITOR (PANAMA);MSNG;10;MSNG;MSNG;GF;1984-01-01;1991-01-01;GF-3EES2-S31536;;16.0;;;;;;TH1;HY1;ST1;BM1;
3EEV;1;IRIS ISLAND (PANAMA);MSNG;70;MSNG;MSNG;US;1983-01-01;1990-01-01;US-3EEV-I62245;;18.0;;28.0;;;;TH1;;ST1;BM1;AN1
3EFI;1;GREAT OCEAN (PANAMA);MSNG;70;MSNG;MSNG;US;1982-01-01;1989-01-01;US-3EFI-G63251;;;;;;;;;;;;
3EFM2;2;FORTUNE CLIPPER (PANAMA);MSNG;70;MSNG;MSNG;MY;1985-01-01;1995-01-01;MY-3EFM2-F63524;;11.0;;24.0;;;;TH1;;;BM1;AN1
3EFM3;1;EVER GRAND (PANAMA);MSNG;70;MSNG;MSNG;US;1985-01-01;1995-01-01;US-3EFM3-E16265;;33.0;;43.0;;;;TH1;;ST1;BM1;AN1
3EFQ;1;KIWALAN (PANAMA);MSNG;70;MSNG;MSNG;US;1985-01-01;1991-01-01;US-3EFQ-K45155;;;;;;;;;;;;
3EFX3;1;ATLANTIC EMBLEM;MSNG;10;MSNG;MSNG;JP;1985-01-01;1986-01-01;JP-3EFX3-A34532;;16.0;;32.0;;;;TH1;HY1;ST1;BM1;AN1
3EGB3;1;PRINCESS CASTLE (PANAMA);MSNG;70;MSNG;MSNG;CA;1985-01-01;1992-01-01;CA-3EGB3-P65222;;20.0;;30.0;;;;TH1;;;BM1;AN1
3EGN;1;CELTIC SEA (PANAMA);MSNG;70;MSNG;MSNG;CA;1983-01-01;1990-01-01;CA-3EGN-C43215;;21.0;;30.0;;;;TH1;;;BM1;AN1
3EGO3;1;SUMIKO (PANAMA);MSNG;70;MSNG;MSNG;CA;1985-01-01;1992-01-01;CA-3EGO3-S52155;;21.0;;31.0;;;;TH1;;;BM1;AN1
3EGX3;1;EASTERN GRACE (PANAMA);MSNG;70;MSNG;MSNG;US;1985-01-01;1992-01-01;US-3EGX3-E23652;;;;;;;;;;;;
3EHB;1;RIDGE;MSNG;10;MSNG;MSNG;ZA;1981-01-01;1988-01-01;ZA-3EHB-R32000;;;;;;;;TH1;HY1;ST1;BM1;
3EHB3;1;EL REDIL (PANAMA);MSNG;10;MSNG;MSNG;AU;1985-01-01;1993-01-01;AU-3EHB3-E46341;;16.0;;;;;;TH1;HY1;ST1;BM1;
3EHC;1;PANTHER (PANAMA);MSNG;70;MSNG;MSNG;CA;1983-01-01;1989-01-01;CA-3EHC-P53615;;21.0;;;;;;TH1;;;BM1;
3EHC2;1;CLIPPER (PANAMA);MSNG;70;MSNG;MSNG;CA;1984-01-01;1991-01-01;CA-3EHC2-C41615;;18.0;;28.0;;;;TH1;;;BM1;AN1
3EHG2;1;SEA AUGUSTA (PANAMA);MSNG;70;MSNG;MSNG;US;1985-01-01;1991-01-01;US-3EHG2-S22315;;;;;;;;;;;;
3EHH;1;SUSANNE VINNEN (PANAMA);MSNG;10;MSNG;MSNG;GF;1982-01-01;1989-01-01;GF-3EHH-S25155;;18.0;;;;;;TH1;HY1;ST1;BM1;
3EHH2;1;GOLD LUCKY (PANAMA);MSNG;70;MSNG;MSNG;US;1985-01-01;1991-01-01;US-3EHH2-G43421;;;;;;;;;;;;
3EHMZ;1;PARNASSOS (PANAMA);MSNG;40;MSNG;MSNG;GF;1985-01-01;1991-01-01;GF-3EHMZ-P65221;;22.0;;;;;;TH1;HY1;ST1;BM1;
3EHO3;1;ORION HIGHWAY;MSNG;10;MSNG;MSNG;JP;1985-01-01;1986-01-01;JP-3EHO3-O65200;;26.0;;34.0;;;;TH1;HY1;ST1;BM1;AN1
3EHY3;1;SANKO HEART (PANAMA);MSNG;70;MSNG;MSNG;US;1985-01-01;1991-01-01;US-3EHY3-S52631;;;;;;;;;;;;
3EIA3;1;SANKO DARING (PANAMA);MSNG;70;MSNG;MSNG;CA;1985-01-01;1992-01-01;CA-3EIA3-S52365;;20.0;;30.0;;;;TH1;;;BM1;AN1
