section,v0 name,v1 name (icoads_3_0),description,comments
core,ICOADS.C0.IM,im,IMMA version,
,ICOADS.C0.TI,ti,time indicator,
,ICOADS.C0.LI,li,lat/lon indicator,
,ICOADS.C0.DS,ds,ship course,
,ICOADS.C0.VS,vs,ship speed,
,ICOADS.C0.NID,nid,national source indic.,
,ICOADS.C0.II,ii,ID indicator,
,ICOADS.C0.C1,country,country code,
,ICOADS.C0.DI,di,wind direction indic.,
,ICOADS.C0.D,,wind direction (true),
,ICOADS.C0.WI,wi,wind speed indic.,
,ICOADS.C0.VI,vi,visibility indic.,
,ICOADS.C0.VV,vv,visibility,
,ICOADS.C0.WW,ww,present weather,
,ICOADS.C0.W1,pastWeather,past weather,
,ICOADS.C0.A,slpTendancy,characteristic of PPP,slpTendency?
,ICOADS.C0.IT,it,indic. for temperatures,
,ICOADS.C0.WBTI,humidityIndicator,wet bulb temp. indic.,"Same content in v0
Set to same only table in v1"
,ICOADS.C0.DPTI,humidityIndicator,dew-point temp. indic.,
,ICOADS.C0.SI,sstMethod,SST measurement method,
,ICOADS.C0.N,,total cloud amount,
,ICOADS.C0.NH,,lower cloud amount,
,ICOADS.C0.CL,cl,low cloud type,
,ICOADS.C0.HI,hi,cloud height indic.,
,ICOADS.C0.H,h,cloud height,
,ICOADS.C0.CM,cm,middle cloud type,
,ICOADS.C0.CH,ch,high cloud type,
,ICOADS.C0.WD,,wave direction,
,ICOADS.C0.SD,,swell direction,
c1,ICOADS.C1.DCK,dck,deck,
,ICOADS.C1.SID,sid,source ID,
,ICOADS.C1.PT,pt,platform type,
,ICOADS.C1.DUPS,dups,dup status,
,ICOADS.C1.DUPC,dupc,dup check,
,ICOADS.C1.TC,tc,track check,
,ICOADS.C1.PB,pb,pressure bias,
,ICOADS.C1.WX,,wave period indicator,
,ICOADS.C1.SX,,swell period indicator,
,ICOADS.C0.C1,country,2nd country code,
,ICOADS.C1.ND,nd,night / day flag,
,ICOADS.C1.TRIM,trimming,SST flag,
,ICOADS.C1.TRIM,trimming,AT flag,
,ICOADS.C1.TRIM,trimming,U-wind flag,
,ICOADS.C1.TRIM,trimming,V-wind flag,
,ICOADS.C1.TRIM,trimming,SLP flag,
,ICOADS.C1.TRIM,trimming,RH (and WBT / DPT) flag,
,ICOADS.C1.NCDC,,report-status flag (ship position),
,ICOADS.C1.NCDC,,wind flag,
,ICOADS.C1.NCDC,,visibility (VV) flag,
,ICOADS.C1.NCDC,,present weather (WW) flag,
,ICOADS.C1.NCDC,,past weather (W1) flag,
,ICOADS.C1.NCDC,,SLP flag,
,ICOADS.C1.NCDC,,AT flag,
,ICOADS.C1.NCDC,,WBT flag,
